,ACCESS_COARSE_LOCATION,ACCESS_COURSE_LOCATION,ACCESS_FINE_LOCATION,ACCESS_LOCATION_EXTRA_COMMANDS,ACCESS_NETWORK_STATE,ACCESS_WIFI_STATE,BATTERY_STATS,BLUETOOTH,BLUETOOTH_ADMIN,CALL_PHONE,CAMERA,CHANGE_NETWORK_STATE,CHANGE_WIFI_STATE,GET_ACCOUNTS,GET_TASKS,INSTALL_SHORTCUT,INTERNET,MODIFY_AUDIO_SETTINGS,READ_CALENDAR,READ_EXTERNAL_STORAGE,READ_HISTORY_BOOKMARKS,READ_PHONE_STATE,RECEIVE_BOOT_COMPLETED,RECEIVE_SMS,RECORD_AUDIO,RESTART_PACKAGES,SEND_SMS,SET_ORIENTATION,SYSTEM_ALERT_WINDOW,VIBRATE,WAKE_LOCK,WRITE_CALENDAR,WRITE_EXTERNAL_STORAGE,WRITE_HISTORY_BOOKMARKS,WRITE_SETTINGS,label
0a86e93b35d851ec9ac4a31342c721ea5052c27bf1642a71982a4f7cb1e705c1.apk,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0a6d0b50a12eabe607dcde493062267b41291d177a65e24f7ce1c222cc0c0431.apk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0a56d14665c3312651fb520b19301c04502fbcb4dc67218b21f6ed09fcc2c8c4.apk,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0a1c657d3f3f82dd0c50baae73f5dda280c2699b756bb38bafb8001a0ab0aa1b.apk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0aedae0ab2171825e7e3ae3c9908b2752a1fd76f88884e2e0d340c184ec2d74d.apk,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0af737a972234d8fb5c9c9cbafee8a21486475f599e7784b82cfd864f054bf41.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0a17cc6fbc080bae24d2dc24415d4889b8c7c38fe5e335b1b7a64a4b92a883a4.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0b4038bd76c0ce3540ae244570173eaa9a00f1ca04ab264f90fa045394b51611.apk,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0b1f03550e7eaca251260033c1a4d0f907a64172c830a3454306f963ef3f9d43.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a0d0f8ec83af26242db0fe487d65913750a0e86d8bf0c022750a9afadcee668.apk,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
0beed72fcc8aa78a4289f0c2a2214b9c93cad13228100e5438ade19ff53b50d9.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0c0adbbe5e778e5076c7da210c5f0fc6a4f20a743709b6c2f04437e4dafa29e1.apk,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0beda9feaf0d768f60bd19b3273ca4e04a10fde8b6ad14a3f1c7b5ef72dbefa7.apk,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0bdd0bb17a39849b25adc8f61e19ab736f7a3fad17524e3725fc0aa2acc52a5e.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
0bf5d1fdef1b3f189c9cb4ce196f2e0e6c7e95fe17fffc062a956b3d564fd461.apk,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
0ba01f2698df4e342c72047d69c127e40611d2cf05bc5f357382ae7825f5a591.apk,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
0bf321ae7ff0f6bdeaa7e31ea3e156b72c3cc60c4a4d84d572c701a2b7545aa8.apk,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
0c2f7fae235e548b9d176dca26985bfbfa488ae86583509fda7dbb00bf111adc.apk,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0c4c556d275f6c34619a4380f12f317a38fb45f1917f5bcdbae6be068d6b7bbe.apk,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0bd7609c8e8fe03f0dab2dfddc079a2774975e815b673ed31b22f844bd3f2760.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
